date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:06	302/302	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/alert.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/alert.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:08	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0)
14:52:11	323/323	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/info.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/info.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:18	244/244	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/tick.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/tick.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:23	495/495	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/exclamation.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/vc/exclamation.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:29	712/712	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/address-book.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/address-book.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:34	841/841	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:39	694/694	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/anchor.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/anchor.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:44	544/544	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/application-image.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/application-image.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:51	590/590	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/arrow.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/arrow.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:52:56	682/682	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/asterisk.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/asterisk.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:53:01	705/705	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/auction-hammer.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/auction-hammer.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:53:07	674/674	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/balloon.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/balloon.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
14:53:12	717/717	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/balloon-buzz.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/images/icons/balloon-buzz.png	(from https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0)
